CGPA,10th_Percentage,12th_Percentage,Internship,Projects,Technical_Skills,Communication_Skills,Backlogs,Placement
8.5,92,90,1,3,9,8,0,1
7.8,85,82,1,2,8,7,1,1
6.5,72,70,0,1,6,6,1,0
9.1,95,93,1,4,10,9,2,1
6.8,78,75,0,1,5,6,3,0
8.2,88,86,1,3,8,8,0,1
7.0,80,76,0,2,6,7,1,1
5.9,65,68,0,0,5,5,3,0
8.8,94,91,1,4,9,9,0,1
7.5,83,80,1,2,7,7,0,1
6.2,70,72,0,1,5,5,2,0
8.0,87,85,1,2,8,8,0,1
6.7,76,74,0,1,6,6,1,0
9.0,96,94,1,5,10,9,0,1
7.2,81,79,0,2,7,6,1,1
6.0,68,65,0,0,4,5,3,0
8.6,91,89,1,3,9,8,0,1
7.7,84,83,1,2,8,7,0,1
6.4,73,71,0,1,5,6,2,0
8.9,93,92,1,4,10,9,0,1
